city_name,batch,treatment_year,year,treated,post,is_pilot
长治市,1,2013,2014,1,1,1
长治市,1,2013,2015,1,1,1
长治市,1,2013,2016,1,1,1
长治市,1,2013,2017,1,1,1
长治市,1,2013,2018,1,1,1
长治市,1,2013,2019,1,1,1
长治市,1,2013,2020,1,1,1
长治市,1,2013,2021,1,1,1
长治市,1,2013,2022,1,1,1
长治市,1,2013,2023,1,1,1
大同市,1,2013,2008,0,0,1
大同市,1,2013,2009,0,0,1
大同市,1,2013,2010,0,0,1
大同市,1,2013,2011,0,0,1
大同市,1,2013,2012,0,0,1
大同市,1,2013,2013,1,1,1
大同市,1,2013,2014,1,1,1
大同市,1,2013,2015,1,1,1
大同市,1,2013,2016,1,1,1
大同市,1,2013,2017,1,1,1
大同市,1,2013,2018,1,1,1
大同市,1,2013,2019,1,1,1
大同市,1,2013,2020,1,1,1
大同市,1,2013,2021,1,1,1
大同市,1,2013,2022,1,1,1
大同市,1,2013,2023,1,1,1
呼和浩特市,1,2013,2008,0,0,1
呼和浩特市,1,2013,2009,0,0,1
呼和浩特市,1,2013,2010,0,0,1
呼和浩特市,1,2013,2011,0,0,1
呼和浩特市,1,2013,2012,0,0,1
呼和浩特市,1,2013,2013,1,1,1
呼和浩特市,1,2013,2014,1,1,1
呼和浩特市,1,2013,2015,1,1,1
呼和浩特市,1,2013,2016,1,1,1
呼和浩特市,1,2013,2017,1,1,1
呼和浩特市,1,2013,2018,1,1,1
呼和浩特市,1,2013,2019,1,1,1
呼和浩特市,1,2013,2020,1,1,1
呼和浩特市,1,2013,2021,1,1,1
呼和浩特市,1,2013,2022,1,1,1
呼和浩特市,1,2013,2023,1,1,1
鄂尔多斯市,1,2013,2008,0,0,1
鄂尔多斯市,1,2013,2009,0,0,1
鄂尔多斯市,1,2013,2010,0,0,1
鄂尔多斯市,1,2013,2011,0,0,1
鄂尔多斯市,1,2013,2012,0,0,1
鄂尔多斯市,1,2013,2013,1,1,1
鄂尔多斯市,1,2013,2014,1,1,1
鄂尔多斯市,1,2013,2015,1,1,1
鄂尔多斯市,1,2013,2016,1,1,1
鄂尔多斯市,1,2013,2017,1,1,1
鄂尔多斯市,1,2013,2018,1,1,1
鄂尔多斯市,1,2013,2019,1,1,1
鄂尔多斯市,1,2013,2020,1,1,1
鄂尔多斯市,1,2013,2021,1,1,1
鄂尔多斯市,1,2013,2022,1,1,1
鄂尔多斯市,1,2013,2023,1,1,1
包头市,1,2013,2008,0,0,1
包头市,1,2013,2009,0,0,1
包头市,1,2013,2010,0,0,1
包头市,1,2013,2011,0,0,1
包头市,1,2013,2012,0,0,1
包头市,1,2013,2013,1,1,1
包头市,1,2013,2014,1,1,1
包头市,1,2013,2015,1,1,1
包头市,1,2013,2016,1,1,1
包头市,1,2013,2017,1,1,1
包头市,1,2013,2018,1,1,1
包头市,1,2013,2019,1,1,1
包头市,1,2013,2020,1,1,1
包头市,1,2013,2021,1,1,1
包头市,1,2013,2022,1,1,1
包头市,1,2013,2023,1,1,1
沈阳市,1,2013,2008,0,0,1
沈阳市,1,2013,2009,0,0,1
沈阳市,1,2013,2010,0,0,1
沈阳市,1,2013,2011,0,0,1
沈阳市,1,2013,2012,0,0,1
沈阳市,1,2013,2013,1,1,1
沈阳市,1,2013,2014,1,1,1
沈阳市,1,2013,2015,1,1,1
沈阳市,1,2013,2016,1,1,1
沈阳市,1,2013,2017,1,1,1
沈阳市,1,2013,2018,1,1,1
沈阳市,1,2013,2019,1,1,1
沈阳市,1,2013,2020,1,1,1
沈阳市,1,2013,2021,1,1,1
沈阳市,1,2013,2022,1,1,1
沈阳市,1,2013,2023,1,1,1
大连市,1,2013,2008,0,0,1
大连市,1,2013,2009,0,0,1
大连市,1,2013,2010,0,0,1
大连市,1,2013,2011,0,0,1
大连市,1,2013,2012,0,0,1
大连市,1,2013,2013,1,1,1
大连市,1,2013,2014,1,1,1
大连市,1,2013,2015,1,1,1
大连市,1,2013,2016,1,1,1
大连市,1,2013,2017,1,1,1
大连市,1,2013,2018,1,1,1
大连市,1,2013,2019,1,1,1
大连市,1,2013,2020,1,1,1
大连市,1,2013,2021,1,1,1
大连市,1,2013,2022,1,1,1
大连市,1,2013,2023,1,1,1
鞍山市,1,2013,2008,0,0,1
鞍山市,1,2013,2009,0,0,1
鞍山市,1,2013,2010,0,0,1
鞍山市,1,2013,2011,0,0,1
鞍山市,1,2013,2012,0,0,1
鞍山市,1,2013,2013,1,1,1
鞍山市,1,2013,2014,1,1,1
鞍山市,1,2013,2015,1,1,1
鞍山市,1,2013,2016,1,1,1
鞍山市,1,2013,2017,1,1,1
鞍山市,1,2013,2018,1,1,1
鞍山市,1,2013,2019,1,1,1
鞍山市,1,2013,2020,1,1,1
鞍山市,1,2013,2021,1,1,1
鞍山市,1,2013,2022,1,1,1
鞍山市,1,2013,2023,1,1,1
营口市,1,2013,2008,0,0,1
营口市,1,2013,2009,0,0,1
营口市,1,2013,2010,0,0,1
营口市,1,2013,2011,0,0,1
营口市,1,2013,2012,0,0,1
营口市,1,2013,2013,1,1,1
营口市,1,2013,2014,1,1,1
营口市,1,2013,2015,1,1,1
营口市,1,2013,2016,1,1,1
营口市,1,2013,2017,1,1,1
营口市,1,2013,2018,1,1,1
营口市,1,2013,2019,1,1,1
营口市,1,2013,2020,1,1,1
营口市,1,2013,2021,1,1,1
营口市,1,2013,2022,1,1,1
营口市,1,2013,2023,1,1,1
长春市,1,2013,2008,0,0,1
长春市,1,2013,2009,0,0,1
长春市,1,2013,2010,0,0,1
长春市,1,2013,2011,0,0,1
长春市,1,2013,2012,0,0,1
长春市,1,2013,2013,1,1,1
长春市,1,2013,2014,1,1,1
长春市,1,2013,2015,1,1,1
长春市,1,2013,2016,1,1,1
长春市,1,2013,2017,1,1,1
长春市,1,2013,2018,1,1,1
长春市,1,2013,2019,1,1,1
长春市,1,2013,2020,1,1,1
长春市,1,2013,2021,1,1,1
长春市,1,2013,2022,1,1,1
长春市,1,2013,2023,1,1,1
吉林市,1,2013,2008,0,0,1
吉林市,1,2013,2009,0,0,1
吉林市,1,2013,2010,0,0,1
吉林市,1,2013,2011,0,0,1
吉林市,1,2013,2012,0,0,1
吉林市,1,2013,2013,1,1,1
吉林市,1,2013,2014,1,1,1
吉林市,1,2013,2015,1,1,1
吉林市,1,2013,2016,1,1,1
吉林市,1,2013,2017,1,1,1
吉林市,1,2013,2018,1,1,1
吉林市,1,2013,2019,1,1,1
吉林市,1,2013,2020,1,1,1
吉林市,1,2013,2021,1,1,1
吉林市,1,2013,2022,1,1,1
吉林市,1,2013,2023,1,1,1
四平市,1,2013,2008,0,0,1
四平市,1,2013,2009,0,0,1
